Academic Year,Term Number,Year Group,Module Name,Lecturer,Section,Room,Room,Start Week,End Week,Day,Start Time,End Time
22/23,2,3/4,Fluid Dynamics 2,Mestel,Applied,139,HXLY 139,2,11,Monday,9:00,10:00
22/23,2,3/4,Finite Elements: Numerical Analysis and Implementation,Cotter+Ham,Applied,139,HXLY 139,2,11,Monday,10:00,11:00
22/23,2,3/4,Bifurcation Theory,Tuarev,Applied,658,HXLY 658,2,11,Monday,10:00,12:00
22/23,2,3/4,Vortex Dynamics,Crowdy,Applied,140,HXLY 140,2,11,Monday,12:00,13:00
22/23,2,3/4,Scientific Computation,Ray,Applied,144,HXLY 144,2,11,Monday,13:00,14:00
22/23,2,3/4,Geometric Mechanics,Holm,Applied,140,HXLY 140,2,11,Monday,13:00,15:00
22/23,2,3/4,Mathematical Foundations of Machine Learning,Borovykh,Applied,139,HXLY 139,10,11,Monday,14:00,15:00
22/23,2,3/4,Advanced Topics in Partial Differential Equations,Giorgini,Applied,139,HXLY 139,2,11,Monday,15:00,16:00
22/23,2,3/4,Hydrodynamic Stability,Wu,Applied,130,HXLY 130,2,11,Monday,15:00,16:00
22/23,2,3/4,Methods for Data Science,Bravi,Applied,213 - Clore,HXLY 213 - Clore,2,11,Monday,16:00,18:00
22/23,2,3/4,Advanced Topics in Partial Differential Equations,Giorgini,Applied,139,HXLY 139,2,11,Tuesday,9:00,10:00
22/23,2,3/4,Finite Elements: Numerical Analysis and Implementation,Cotter+Ham,Applied,140,HXLY 140,2,11,Tuesday,10:00,11:00
22/23,2,3/4,Tensor Calculus & General Relativity,Ford,Applied,130,HXLY 130,2,11,Tuesday,10:00,11:00
22/23,2,3/4,Random Dynamical Systems and Ergodic Theory,Lamb,Applied,642,HXLY 642,2,11,Tuesday,10:00,12:00
22/23,2,3/4,Scientific Computation,Ray,Applied,130,HXLY 130,2,11,Tuesday,11:00,12:00
22/23,2,3/4,Fluid Dynamics 2,Mestel,Applied,130,HXLY 130,2,11,Tuesday,12:00,13:00
