Section,Staff,Module Codes,Module Name,Coursework Name,Start Date,End Date,Value,Submit Work To,Year Group
Applied,Dr T Kirk,MATH60002/MATH70002,Fluid Dynamics 2,Coursework 1,06/02/2023,20/02/2023,5,Blackboard,3/4
Applied,Dr T Kirk,MATH60002/MATH70002,Fluid Dynamics 2,Coursework 2,06/03/2023,20/03/2023,5,Blackboard,3/4
Applied,Dr P. Berloff,MATH60003/MATH70003,Introduction to Geophysical Fluid Dynamics,Coursework 1,20/02/2023,06/03/2023,10,Blackboard,3/4
Applied,Professor D. Turaev & Dr D Li,MATH60009/MATH70009,Bifurcation Theory,Coursework 1,06/02/2023,20/02/2023,10,Blackboard,3/4
Applied,Professor D. Holm,MATH60010/MATH70010,Geometric Mechanics,Assessed Homework 1,23/01/2023,06/02/2023,3,Blackboard,3/4
Applied,Professor D. Holm,MATH60010/MATH70010,Geometric Mechanics,Assessed Homework 2,13/02/2023,27/02/2023,3,Blackboard,3/4
Applied,Professor D. Holm,MATH60010/MATH70010,Geometric Mechanics,Assessed Homework 3,06/03/2023,20/03/2023,4,Blackboard,3/4
Applied,Dr P. Siorpaes,MATH60012/MATH70012,Mathematical Finance: An Introduction to Option Pricing,BB Quiz,14/02/2023,28/02/2023,3,Blackboard,3/4
Applied,Dr P. Siorpaes,MATH60012/MATH70012,Mathematical Finance: An Introduction to Option Pricing,Group Project,07/03/2023,21/03/2023,7,Blackboard,3/4
Applied,Dr I Papatsouma,MATH60013,Mathematics of Business and Economics,Test 1 ,27/02/2023,13/03/2023,10,In Person Test,3/4
Applied,Dr C Ford,MATH60017/MATH70017,Tensor Calculus & General Relativity,Test 1,20/01/2023,03/02/2023,5,In Person Test,3/4
Applied,Dr C Ford,MATH60017/MATH70017,Tensor Calculus & General Relativity,Test 2,17/02/2023,03/03/2023,5,In Person Test,3/4
Applied,Dr R. Barnett,MATH60018/MATH70018,Quantum Mechanics 2,Coursework 1,08/02/2023,22/02/2023,5,Blackboard,3/4
Applied,Dr R. Barnett,MATH60018/MATH70018,Quantum Mechanics 2,Coursework 2,08/03/2023,22/03/2023,5,Blackboard,3/4
Applied,Kostianko,MATH60021/MATH70021,Advanced Topics in Partial Differential Equations,Coursework 1,13/02/2023,27/02/2023,10,Blackboard,3/4
Applied,Professor C. Cotter & Dr D. Ham,MATH60022/MATH70022,Finite Elements: Numerical Analysis and Implementation,Implementation Exercise,10/03/2023,24/03/2023,50,GitHub classroom,3/4
Applied,Dr S. Mughal,MATH60025/MATH70025,Computational Partial Differential Equations,Coursework 1,25/01/2023,08/02/2023,25,Blackboard,3/4
Applied,Dr S. Mughal,MATH60025/MATH70025,Computational Partial Differential Equations,Coursework 2 - Point at which Students Committed to Module,17/02/2023,03/03/2023,40,Blackboard,3/4
Applied,Dr S. Mughal,MATH60025/MATH70025,Computational Partial Differential Equations,Coursework 3,08/03/2023,22/03/2023,35,Blackboard,3/4
Applied,Dr S. Mughal,MATH60025/MATH70025,Computational Partial Differential Equations,Mastery Coursework,15/03/2023,29/03/2023,20,Blackboard,3/4
Applied,Dr P. Thomas & Dr B. Bravi,MATH60026/MATH70026,Methods for Data Science,Coursework 1 - Point at which Students Committed to Module,08/02/2023,22/02/2023,40,Blackboard,3/4
Applied,Dr P. Thomas & Dr B. Bravi,MATH60026/MATH70026,Methods for Data Science,Coursework 2,10/03/2023,24/03/2023,60,Blackboard,3/4
